"table","n_rows"
"Chemistry_Parameters",17
"Conductivity_Loggers",2
"Conductivity_Observations",21901
"Data_Sources",7
"Documents_Processed",10
"External_Location_Map",77
"Facility_Areas",5
"Field_Measurements",111
"Field_Observations",0
"Gradient_Vectors_Scaled",477800
"Hydraulic_Gradients",670130
"Ingest_Run_Log",11
"Isotope_Analyses",16
"Lab_Analyses",12495
"Locations",164
"Logger_Files_Processed",20
"Logger_Station_Map",0
"NDOM_Well_Records",49
"PHREEQC_Gas_Phase_Results",0
"PHREEQC_Gas_Phase_Runs",0
"PHREEQC_Inverse_End_Members",0
"PHREEQC_Inverse_Models",0
"PHREEQC_Inverse_Results",0
"PHREEQC_Mixing_Fractions",0
"PHREEQC_Mixing_Results",0
"PHREEQC_Mixing_Runs",0
"PHREEQC_Pipeline_State",0
"PHREEQC_Results",0
"PHREEQC_Run_Failures",0
"PHREEQC_Solutions",0
"PHREEQC_Temp_Sweep",0
"Photo_Location_Candidates",1
"Photo_Location_QC",0
"Photos",0
"Port_Injection_Links",15
"Production_Port_Links",25
"QC_Issues",3201
"QC_Summary",1
"Samples",836
"Sampling_Events",759
"Sampling_Ports",5
"Staging_NDEP_WQ",494
"Stream_Flow_Observations",4929
"Temperature_Loggers",11
"Temperature_Observations",204622
"USGS_Stations",2
"USGS_Timeseries",272112
"Validation_Log",17
"Water_Level_Observations",153436
"Weather_Files_Processed",3
"Weather_Observations",28043
"Weather_Stations",3
"Well_Aliases",18
"Well_Lithology",0
"Well_Log_Documents",0
"Wells",136
"anomaly_flags",13337
"flow_summary",1
"hydrochem_summary",767
"isotope_pairs",8
"sample_flow",829
"sample_flux",2736
"sample_integrated",13337
"temp_flow",193656
"temp_gradient",2160
"thermal_summary",10
"vw_flux_summary",0
"vw_flux_vs_usgs",0
"vw_hydraulic_gradients",670130
"vw_hydraulic_head",153021
"vw_hydraulic_head_clean",153021
"vw_isotope_pairs",8
"vw_isotopes_gis",16
"vw_locations_gis",164
"vw_logger_locations",10
"vw_major_ions",2790
"vw_major_ions_clean",1825
"vw_port_to_injection",15
"vw_production_to_port",25
"vw_sample_flow_clean",626
"vw_sample_hydrochem_flux",2736
"vw_sample_master",12495
"vw_sample_quality",836
"vw_sample_with_flow",829
"vw_samples_gis",12495
"vw_samples_locations",767
"vw_sc_discharge_daily",78
"vw_temp_gradient",2160
"vw_temperature_timeseries",193656
"vw_usgs_discharge",272039
"vw_water_level_latest",72
"vw_weather_metric",28043
"vw_well_flow_network",82
"vw_wells_gis",129
