"well_id","well_name","ndwr_site_id","well_role","latitude","longitude","mid_screen_depth","total_depth","basin_name"
1,"PAGNI LANE","088 N17 E20 18BABA1","unknown",39.34624,-119.7831,105,135,"PLEASANT VALLEY"
2,"MONTREAUX RANCH","088 N17 E20 07ADCA1","unknown",39.35506,-119.77406,150,200,"PLEASANT VALLEY"
3,"GALENA CREEK PARK","088 N17 E19 09BABC1","unknown",39.35955,-119.85889,249,306,"PLEASANT VALLEY"
4,"SKY TAVERN SKI RESORT","088 N17 E19 17CAAA1","unknown",39.33813,-119.8736,NA,320,"PLEASANT VALLEY"
5,"Shonnard","088 N17 E19 02CACD1","unknown",39.364597,-119.819923,170,220,"PLEASANT VALLEY"
6,"St. James MW1","088 N17 E19 14AAAA2","unknown",39.346027,-119.807974,620,788,"PLEASANT VALLEY"
7,"St. James MW2","088 N17 E19 14ABBA2","unknown",39.345925,-119.815633,580,640,"PLEASANT VALLEY"
8,"St. James MW3","088 N17 E19 14BBCB2","unknown",39.343791,-119.826154,430,600,"PLEASANT VALLEY"
9,"St. James MW4","088 N17 E19 10DCAD2","unknown",39.348158,-119.831604,300,360,"PLEASANT VALLEY"
10,"Tessa East","088 N18 E19 35CACD2","unknown",39.38112,-119.820081,582.5,725,"PLEASANT VALLEY"
11,"Tessa West","088 N18 E19 35CBCC2","unknown",39.37888,-119.825034,727,1000,"PLEASANT VALLEY"
12,"Mt. Rose 3","088 N17 E19 02DABD1","unknown",39.366406,-119.810357,165,223,"PLEASANT VALLEY"
13,"Mt. Rose 6","088 N17 E19 03DBCD1","unknown",39.364953,-119.833582,640,755,"PLEASANT VALLEY"
14,"Timberline MW","088 N18 E19 34CADD1","unknown",39.378909,-119.836044,315,450,"PLEASANT VALLEY"
15,"Sunrise Estates 3","088 N17 E20 07CCAB1","unknown",39.34936,-119.786778,126,151,"PLEASANT VALLEY"
16,"Reno High MWD","087 N19 E19 15AABC2","unknown",39.5189,-119.82987,330,430,"TRUCKEE MEADOWS"
17,"Reno High MWS","087 N19 E19 15AABC3","unknown",39.518898,-119.82989,205,230,"TRUCKEE MEADOWS"
18,"View MWD","087 N19 E20 06DCDB2","unknown",39.536026,-119.77773,360,530,"TRUCKEE MEADOWS"
19,"View MWS","087 N19 E20 06DCDB3","unknown",39.536044,-119.777745,166,190,"TRUCKEE MEADOWS"
20,"Virginia MWD","087 N18 E20 06BAAA2","unknown",39.461878,-119.7808,190,290,"TRUCKEE MEADOWS"
21,"Arrow Creek 4S","087 N18 E19 22DAAD2","unknown",39.409606,-119.827413,674,1325,"TRUCKEE MEADOWS"
